id_aluno,id_curso,data_matricula
102,6,2024-01-30
103,6,2024-08-11
104,5,2024-07-25
105,4,2024-01-16
106,5,2024-01-24
107,6,2024-02-05
108,1,2024-10-19
109,4,2024-02-09
110,2,2024-07-01
111,5,2024-10-30
112,6,2024-06-03
113,5,2024-03-21
114,5,2024-07-24
115,3,2024-08-26
116,5,2024-09-22
117,5,2024-06-27
118,3,2024-08-24
119,4,2024-02-27
120,5,2024-10-11
121,4,2024-04-01
122,3,2024-01-22
123,5,2024-04-17
124,2,2024-06-20
125,5,2024-05-25
126,3,2024-06-06
127,3,2024-07-03
128,5,2024-09-21
129,4,2024-01-08
130,1,2024-02-28
131,5,2024-01-04
132,3,2024-01-07
133,1,2024-02-12
134,2,2024-02-28
135,1,2024-02-13
136,3,2024-10-29
137,4,2024-06-12
138,6,2024-03-19
139,2,2024-01-27
140,4,2024-08-22
141,1,2024-03-09
142,5,2024-02-08
143,4,2024-02-25
144,3,2024-05-18
145,6,2024-02-25
146,6,2024-07-06
147,6,2024-08-19
148,6,2024-10-17
149,3,2024-08-18
150,4,2024-05-15
151,1,2024-03-19
152,1,2024-02-13
153,6,2024-07-03
154,4,2024-03-30
155,4,2024-04-09
156,6,2024-10-06
157,1,2024-04-24
158,5,2024-09-27
159,6,2024-09-23
160,3,2024-09-28
161,6,2024-02-26
162,3,2024-07-11
163,3,2024-09-09
164,1,2024-10-05
165,6,2024-10-25
166,3,2024-05-24
167,1,2024-07-13
168,2,2024-01-14
169,4,2024-03-31
170,6,2024-06-28
171,4,2024-05-29
172,3,2024-02-19
173,5,2024-11-06
174,3,2024-01-04
175,3,2024-07-21
176,3,2024-07-02
177,2,2024-02-21
178,3,2024-09-03
179,2,2024-04-08
180,1,2024-02-04
181,4,2024-08-30
182,2,2024-04-22
183,1,2024-04-09
184,1,2024-06-01
185,4,2024-11-02
186,5,2024-09-07
187,5,2024-09-08
188,1,2024-04-05
189,1,2024-04-07
190,1,2024-03-30
191,3,2024-10-30
192,4,2024-04-18
193,1,2024-10-25
194,6,2024-07-24
195,4,2024-08-19
196,3,2024-03-04
197,4,2024-06-17
198,2,2024-03-21
199,2,2024-09-07
200,6,2024-02-09
201,5,2024-01-15
202,2,2024-05-15
203,6,2024-07-16
204,3,2024-05-06
205,1,2024-06-13
206,3,2024-10-03
207,6,2024-09-04
208,6,2024-01-06
209,1,2024-02-27
210,1,2024-10-10
211,4,2024-06-28
212,3,2024-09-12
213,3,2024-10-01
214,1,2024-07-24
215,2,2024-09-13
216,1,2024-07-31
217,1,2024-05-12
218,3,2024-04-26
219,5,2024-05-07
220,5,2024-02-03
221,3,2024-04-17
222,2,2024-08-16
223,3,2024-05-15
224,2,2024-06-14
225,4,2024-10-30
226,1,2024-08-07
227,4,2024-01-15
228,5,2024-10-28
229,6,2024-07-31
230,1,2024-03-12
231,4,2024-06-14
232,4,2024-06-27
233,6,2024-03-18
234,5,2024-06-13
235,6,2024-02-20
236,6,2024-07-23
237,5,2024-07-10
238,1,2024-08-08
239,5,2024-08-19
240,2,2024-03-14
241,5,2024-01-27
242,1,2024-10-24
243,5,2024-02-10
244,3,2024-02-14
245,6,2024-01-02
246,2,2024-08-20
247,6,2024-08-21
248,3,2024-04-20
249,2,2024-06-17
250,2,2024-09-06
251,3,2024-06-11
252,6,2024-06-13
253,1,2024-01-18
254,3,2024-09-16
255,3,2024-03-08
256,6,2024-04-09
257,3,2024-07-14
258,3,2024-07-23
259,4,2024-09-21
260,3,2024-06-08
261,5,2024-07-25
262,3,2024-02-20
263,1,2024-10-01
264,2,2024-07-18
265,6,2024-11-01
266,4,2024-07-09
267,4,2024-07-11
268,6,2024-03-20
269,4,2024-02-07
270,6,2024-09-23
271,6,2024-05-28
272,1,2024-01-15
273,5,2024-01-27
274,3,2024-07-16
275,6,2024-08-14
276,4,2024-09-14
277,3,2024-02-28
278,2,2024-01-09
279,1,2024-06-11
280,4,2024-10-23
281,1,2024-02-23
282,3,2024-04-11
283,6,2024-03-21
284,1,2024-08-03
285,3,2024-08-06
286,4,2024-04-21
287,2,2024-03-20
288,1,2024-03-29
289,6,2024-07-27
290,6,2024-09-13
291,1,2024-06-01
292,1,2024-10-02
293,5,2024-09-16
294,2,2024-05-26
295,1,2024-09-22
296,1,2024-06-12
297,6,2024-09-28
298,6,2024-03-16
299,2,2024-07-22
300,3,2024-01-25
301,2,2024-03-04
302,1,2024-09-09
303,3,2024-05-12
304,2,2024-06-14
305,5,2024-11-03
306,5,2024-03-23
307,2,2024-01-26
308,2,2024-10-27
309,4,2024-04-15
310,3,2024-09-08
311,2,2024-05-27
312,5,2024-10-22
313,1,2024-03-09
314,1,2024-02-16
315,5,2024-09-18
316,3,2024-04-14
317,4,2024-01-24
318,5,2024-01-03
319,3,2024-06-03
320,3,2024-02-07
321,3,2024-01-21
322,6,2024-03-31
323,6,2024-05-17
324,2,2024-03-20
325,1,2024-01-17
326,1,2024-07-19
327,1,2024-03-23
328,1,2024-11-03
329,2,2024-05-03
330,6,2024-06-12
331,2,2024-08-24
332,6,2024-09-29
333,5,2024-03-20
334,3,2024-08-12
335,4,2024-06-21
336,6,2024-01-28
337,3,2024-08-08
338,1,2024-02-12
339,6,2024-04-10
340,4,2024-09-21
341,2,2024-03-30
342,3,2024-01-18
343,2,2024-06-30
344,5,2024-01-05
345,3,2024-05-08
346,2,2024-07-31
347,2,2024-07-17
348,4,2024-03-02
349,6,2024-03-22
350,2,2024-08-26
351,4,2024-04-21
352,6,2024-08-25
353,6,2024-04-12
354,2,2024-07-13
355,4,2024-02-28
356,3,2024-07-04
357,6,2024-10-02
358,2,2024-06-28
359,6,2024-01-23
360,3,2024-09-09
361,1,2024-06-27
362,5,2024-03-26
363,2,2024-08-02
364,2,2024-07-04
365,3,2024-08-16
366,4,2024-01-12
367,4,2024-03-24
368,2,2024-08-02
369,2,2024-07-13
370,5,2024-07-08
371,1,2024-04-17
372,6,2024-01-03
373,6,2024-10-05
374,5,2024-10-01
375,6,2024-04-21
376,5,2024-07-08
377,6,2024-04-12
378,5,2024-07-10
379,5,2024-02-19
380,5,2024-07-31
381,1,2024-04-04
382,1,2024-03-21
383,3,2024-04-30
384,2,2024-05-02
385,5,2024-05-09
386,1,2024-05-12
387,1,2024-05-05
388,4,2024-06-07
389,3,2024-02-15
390,2,2024-09-24
391,3,2024-06-05
392,4,2024-06-16
393,3,2024-01-09
394,6,2024-04-18
395,4,2024-10-01
396,6,2024-04-17
397,1,2024-02-25
398,1,2024-01-28
399,5,2024-09-05
400,5,2024-10-13
401,2,2024-04-16
402,1,2024-05-08
403,5,2024-10-28
404,1,2024-03-30
405,6,2024-03-28
406,2,2024-08-24
407,5,2024-02-23
408,1,2024-05-20
409,2,2024-03-27
410,1,2024-05-18
411,6,2024-07-11
412,6,2024-08-12
413,1,2024-02-27
414,2,2024-02-16
415,2,2024-04-07
416,1,2024-01-24
417,2,2024-03-07
418,3,2024-02-02
419,2,2024-04-27
420,3,2024-09-27
421,2,2024-05-23
422,3,2024-03-02
423,4,2024-03-12
424,2,2024-08-01
425,2,2024-03-15
426,4,2024-03-13
427,4,2024-06-10
428,5,2024-07-13
429,5,2024-01-02
430,3,2024-02-06
431,6,2024-03-14
432,5,2024-08-10
433,4,2024-08-13
434,4,2024-07-21
435,2,2024-05-02
436,4,2024-03-19
437,5,2024-08-24
438,1,2024-02-08
439,6,2024-05-01
440,3,2024-03-30
441,6,2024-06-18
442,4,2024-03-06
443,4,2024-04-10
444,6,2024-07-14
445,3,2024-06-10
446,3,2024-01-14
447,6,2024-07-17
448,3,2024-10-14
449,1,2024-03-24
450,1,2024-09-28
451,6,2024-06-28
452,3,2024-11-03
453,3,2024-02-16
454,2,2024-10-13
455,3,2024-05-27
456,4,2024-10-14
457,1,2024-06-29
458,3,2024-08-03
459,3,2024-04-10
460,5,2024-06-17
461,3,2024-09-02
462,5,2024-07-11
463,1,2024-09-20
464,1,2024-05-07
465,1,2024-10-24
466,6,2024-11-01
467,4,2024-04-08
468,2,2024-01-18
469,4,2024-11-06
470,4,2024-08-17
471,5,2024-03-08
472,5,2024-03-08
473,4,2024-08-23
474,5,2024-07-11
475,1,2024-01-10
476,3,2024-07-31
477,2,2024-01-21
478,1,2024-01-16
479,6,2024-04-09
480,5,2024-03-24
481,6,2024-09-06
482,3,2024-02-22
483,6,2024-05-05
484,6,2024-05-29
485,1,2024-01-25
486,1,2024-10-26
487,5,2024-07-16
488,1,2024-09-28
489,4,2024-10-18
490,3,2024-08-12
491,4,2024-09-02
492,5,2024-01-02
493,3,2024-05-18
494,3,2024-07-03
495,3,2024-01-20
496,1,2024-01-20
497,6,2024-05-02
498,5,2024-01-12
499,2,2024-11-05
500,4,2024-03-07
501,2,2024-07-08
502,5,2024-07-29
503,4,2024-08-17
504,3,2024-10-19
505,6,2024-09-26
506,1,2024-03-19
507,5,2024-10-17
508,5,2024-09-26
509,2,2024-06-15
510,6,2024-04-18
511,2,2024-09-02
512,1,2024-03-25
513,2,2024-01-24
514,3,2024-08-26
515,5,2024-08-18
516,5,2024-07-08
517,3,2024-05-15
518,4,2024-06-08
519,3,2024-07-05
520,2,2024-07-25
521,4,2024-07-29
522,2,2024-05-13
523,2,2024-03-06
524,3,2024-09-13
525,5,2024-02-09
526,6,2024-10-28
527,2,2024-10-20
528,6,2024-09-17
529,2,2024-03-12
530,1,2024-04-12
531,4,2024-06-26
532,4,2024-09-19
533,4,2024-09-22
534,3,2024-04-30
535,3,2024-02-12
536,5,2024-01-02
537,6,2024-02-12
538,5,2024-01-12
539,6,2024-07-23
540,5,2024-10-06
541,1,2024-08-06
542,2,2024-09-27
543,2,2024-05-15
544,1,2024-06-10
545,5,2024-02-17
546,4,2024-08-28
547,5,2024-07-03
548,6,2024-05-09
549,4,2024-03-10
550,3,2024-08-31
551,2,2024-02-19
552,4,2024-02-14
553,3,2024-04-06
554,4,2024-04-01
555,2,2024-07-15
556,2,2024-06-08
557,6,2024-05-27
558,1,2024-02-14
559,1,2024-06-24
560,1,2024-03-18
561,6,2024-08-18
562,2,2024-11-03
563,5,2024-10-26
564,6,2024-04-10
565,2,2024-06-18
566,5,2024-09-05
567,1,2024-03-06
568,1,2024-09-30
569,1,2024-07-22
570,1,2024-04-29
571,4,2024-04-07
572,6,2024-04-19
573,5,2024-02-19
574,5,2024-06-09
575,1,2024-10-24
576,6,2024-02-13
577,4,2024-01-04
578,2,2024-01-16
579,2,2024-02-18
580,1,2024-03-18
581,5,2024-04-29
582,3,2024-09-09
583,6,2024-01-29
584,1,2024-02-22
585,6,2024-05-14
586,6,2024-04-02
587,2,2024-04-21
588,1,2024-01-09
589,4,2024-07-26
590,6,2024-10-23
591,6,2024-03-04
592,3,2024-11-04
593,5,2024-06-24
594,6,2024-04-16
595,3,2024-10-02
596,3,2024-07-17
597,5,2024-06-16
598,3,2024-07-02
599,5,2024-07-05
600,1,2024-02-03
601,1,2024-10-23
602,4,2024-05-10
603,2,2024-07-16
604,5,2024-05-23
605,5,2024-01-09
606,3,2024-10-05
607,1,2024-04-09
608,3,2024-07-18
609,4,2024-05-18
610,4,2024-08-01
611,6,2024-05-11
612,4,2024-06-01
613,4,2024-04-22
614,4,2024-07-12
615,5,2024-04-06
616,4,2024-03-03
617,5,2024-07-15
618,6,2024-09-20
619,3,2024-07-25
620,6,2024-10-13
621,2,2024-03-19
622,2,2024-08-25
623,3,2024-01-26
624,1,2024-10-12
625,5,2024-03-27
626,4,2024-01-05
627,5,2024-09-16
628,1,2024-09-20
629,4,2024-07-22
630,6,2024-07-02
631,3,2024-10-12
632,5,2024-02-04
633,1,2024-11-03
634,1,2024-03-04
635,3,2024-07-05
636,3,2024-07-16
637,2,2024-10-26
638,1,2024-10-22
639,6,2024-02-10
640,3,2024-01-16
641,2,2024-05-09
642,2,2024-08-03
643,6,2024-07-29
644,2,2024-09-15
645,1,2024-06-04
646,2,2024-06-17
647,2,2024-07-08
648,6,2024-04-08
649,3,2024-09-02
650,3,2024-06-01
651,1,2024-03-15
652,6,2024-02-06
653,1,2024-11-03
654,5,2024-09-06
655,1,2024-04-25
656,1,2024-10-31
657,5,2024-01-10
658,3,2024-01-18
659,1,2024-08-17
660,1,2024-01-20
661,3,2024-01-22
662,1,2024-07-16
663,2,2024-03-08
664,1,2024-09-29
665,3,2024-01-26
666,2,2024-09-26
667,6,2024-02-10
668,5,2024-06-28
669,3,2024-03-19
670,5,2024-07-22
671,3,2024-03-01
672,3,2024-02-04
673,3,2024-04-24
674,1,2024-04-03
675,4,2024-09-10
676,2,2024-09-16
677,2,2024-10-27
678,4,2024-03-07
679,6,2024-09-14
680,1,2024-01-25
681,3,2024-08-31
682,5,2024-07-13
683,4,2024-10-18
684,3,2024-04-15
685,1,2024-09-01
686,4,2024-02-01
687,1,2024-07-04
688,4,2024-01-18
689,2,2024-09-20
690,6,2024-07-09
691,5,2024-08-22
692,2,2024-10-01
693,4,2024-02-13
694,2,2024-05-07
695,2,2024-03-30
696,4,2024-08-11
697,3,2024-03-26
698,6,2024-08-21
699,4,2024-06-07
700,4,2024-10-16
701,2,2024-03-26
702,3,2024-10-31
703,1,2024-01-11
704,6,2024-06-16
705,3,2024-05-22
706,1,2024-06-25
707,3,2024-03-20
708,6,2024-04-13
709,4,2024-07-30
710,5,2024-03-28
711,4,2024-10-07
712,3,2024-04-09
713,2,2024-08-29
714,3,2024-08-13
715,1,2024-01-09
716,4,2024-01-20
717,6,2024-07-15
718,2,2024-10-17
719,4,2024-08-25
720,1,2024-08-17
721,2,2024-05-27
722,4,2024-08-13
723,1,2024-10-12
724,2,2024-02-03
725,1,2024-09-25
726,3,2024-01-29
727,2,2024-10-31
728,2,2024-09-11
729,3,2024-04-13
730,4,2024-03-13
731,4,2024-10-13
732,3,2024-02-26
733,5,2024-08-03
734,2,2024-05-15
735,1,2024-10-11
736,5,2024-11-04
737,1,2024-03-22
738,6,2024-09-28
739,4,2024-02-23
740,3,2024-06-08
741,3,2024-08-13
742,5,2024-06-19
743,4,2024-03-08
744,1,2024-09-28
745,3,2024-01-31
746,3,2024-11-05
747,2,2024-04-21
748,2,2024-07-15
749,4,2024-02-11
750,4,2024-07-19
751,2,2024-07-25
752,5,2024-10-27
753,5,2024-07-04
754,6,2024-08-16
755,3,2024-09-16
756,5,2024-08-20
757,3,2024-07-25
758,3,2024-05-24
759,2,2024-04-23
760,4,2024-10-02
761,3,2024-02-18
762,4,2024-06-04
763,1,2024-10-07
764,5,2024-02-23
765,4,2024-03-13
766,1,2024-07-19
767,6,2024-08-25
768,3,2024-07-11
769,3,2024-04-22
770,4,2024-03-18
771,5,2024-01-04
772,4,2024-09-18
773,3,2024-02-14
774,1,2024-03-06
775,2,2024-05-02
776,1,2024-08-11
777,6,2024-06-14
778,4,2024-06-30
779,2,2024-02-02
780,4,2024-09-20
781,4,2024-07-09
782,5,2024-06-25
783,6,2024-10-20
784,1,2024-06-21
785,4,2024-05-17
786,1,2024-04-27
787,2,2024-01-30
788,3,2024-04-09
789,5,2024-04-11
790,3,2024-03-15
791,2,2024-09-10
792,3,2024-09-15
793,2,2024-11-05
794,3,2024-06-09
795,5,2024-09-14
796,1,2024-07-11
797,2,2024-01-05
798,1,2024-07-30
799,5,2024-03-02
800,6,2024-08-02
801,4,2024-08-11
802,1,2024-06-07
803,4,2024-09-17
804,1,2024-07-25
805,6,2024-02-23
806,5,2024-06-20
807,6,2024-04-16
808,5,2024-03-19
809,1,2024-04-14
810,1,2024-10-10
811,3,2024-07-06
812,3,2024-02-29
813,1,2024-06-28
814,5,2024-02-27
815,4,2024-09-22
816,6,2024-02-02
817,6,2024-01-02
818,3,2024-04-01
819,2,2024-03-11
820,4,2024-03-24
821,2,2024-10-25
822,1,2024-09-08
823,4,2024-02-02
824,6,2024-09-08
825,5,2024-06-09
826,6,2024-06-02
827,6,2024-10-28
828,5,2024-09-04
829,2,2024-10-26
830,4,2024-05-19
831,5,2024-01-06
832,1,2024-07-29
833,4,2024-08-08
834,4,2024-01-19
835,1,2024-08-24
836,5,2024-04-16
837,5,2024-10-14
838,3,2024-03-22
839,5,2024-05-16
840,4,2024-06-02
841,4,2024-09-14
842,3,2024-06-18
843,4,2024-05-23
844,1,2024-02-03
845,2,2024-10-07
846,5,2024-01-05
847,1,2024-07-27
848,3,2024-02-04
849,6,2024-07-01
850,5,2024-03-18
851,3,2024-08-02
852,6,2024-09-05
853,5,2024-03-16
854,5,2024-03-03
855,3,2024-06-30
856,2,2024-09-28
857,1,2024-08-10
858,4,2024-03-01
859,2,2024-05-18
860,1,2024-05-26
861,5,2024-02-10
862,4,2024-07-05
863,5,2024-01-29
864,2,2024-08-15
865,3,2024-02-27
866,5,2024-03-25
867,4,2024-02-16
868,4,2024-09-02
869,5,2024-04-09
870,5,2024-04-09
871,1,2024-06-21
872,3,2024-06-21
873,3,2024-05-28
874,6,2024-08-17
875,4,2024-07-27
876,2,2024-10-06
877,2,2024-01-09
878,3,2024-04-13
879,4,2024-06-18
880,4,2024-02-25
881,5,2024-05-16
882,4,2024-06-11
883,1,2024-05-20
884,4,2024-07-29
885,6,2024-07-21
886,4,2024-11-06
887,6,2024-01-17
888,4,2024-10-18
889,1,2024-06-28
890,2,2024-09-20
891,4,2024-06-13
892,5,2024-10-06
893,3,2024-03-31
894,5,2024-02-20
895,4,2024-02-04
896,5,2024-08-20
897,4,2024-01-18
898,6,2024-04-19
899,4,2024-09-08
900,6,2024-10-28
901,4,2024-01-07
902,5,2024-10-20
903,6,2024-09-23
904,5,2024-09-07
905,5,2024-08-06
906,1,2024-10-22
907,3,2024-10-25
908,4,2024-04-30
909,1,2024-05-12
910,3,2024-05-18
911,5,2024-07-01
912,5,2024-01-13
913,3,2024-09-23
914,3,2024-09-18
915,5,2024-02-16
916,4,2024-05-24
917,5,2024-08-01
918,6,2024-10-04
919,2,2024-01-27
920,6,2024-08-17
921,3,2024-04-09
922,1,2024-06-28
923,5,2024-10-10
924,1,2024-08-29
925,1,2024-09-26
926,1,2024-07-26
927,3,2024-01-30
928,6,2024-01-26
929,5,2024-01-14
930,1,2024-03-31
931,3,2024-05-16
932,1,2024-05-22
933,3,2024-02-21
934,2,2024-09-01
935,3,2024-10-29
936,6,2024-02-27
937,2,2024-08-01
938,1,2024-07-17
939,1,2024-09-17
940,5,2024-09-06
941,5,2024-03-01
942,5,2024-05-31
943,2,2024-01-13
944,2,2024-01-28
945,1,2024-06-22
946,5,2024-01-24
947,2,2024-09-20
948,4,2024-07-17
949,2,2024-03-21
950,6,2024-07-21
951,6,2024-02-01
952,2,2024-04-17
953,2,2024-01-12
954,1,2024-06-19
955,4,2024-09-06
956,3,2024-06-13
957,4,2024-07-23
958,2,2024-10-03
959,3,2024-08-21
960,6,2024-09-23
961,5,2024-05-25
962,5,2024-08-16
963,5,2024-10-18
964,2,2024-10-14
965,1,2024-07-08
966,4,2024-04-17
967,5,2024-05-07
968,4,2024-07-24
969,2,2024-08-13
970,5,2024-11-05
971,4,2024-01-04
972,5,2024-01-21
973,3,2024-03-16
974,2,2024-08-15
975,3,2024-02-12
976,6,2024-09-25
977,5,2024-10-24
978,4,2024-08-03
979,4,2024-03-17
980,3,2024-06-03
981,4,2024-02-17
982,6,2024-03-11
983,6,2024-10-31
984,5,2024-09-13
985,4,2024-06-26
986,1,2024-02-04
987,6,2024-10-24
988,1,2024-04-11
989,3,2024-06-14
990,3,2024-07-13
991,5,2024-09-25
992,4,2024-07-08
993,2,2024-05-14
994,6,2024-01-13
995,1,2024-05-07
996,1,2024-03-31
997,1,2024-08-15
998,3,2024-03-07
999,4,2024-09-19
1000,4,2024-09-02
1001,1,2024-05-11
1002,2,2024-04-17
1003,4,2024-08-04
1004,2,2024-06-24
1005,2,2024-04-21
1006,6,2024-10-14
1007,1,2024-08-30
1008,6,2024-07-05
1009,3,2024-01-12
1010,4,2024-10-22
1011,1,2024-01-18
1012,6,2024-05-22
1013,2,2024-08-05
1014,1,2024-04-27
1015,5,2024-02-09
1016,6,2024-07-01
1017,3,2024-02-19
1018,2,2024-01-08
1019,3,2024-10-28
1020,2,2024-01-21
1021,2,2024-09-16
1022,6,2024-01-28
1023,3,2024-09-11
1024,2,2024-07-01
1025,3,2024-04-17
1026,1,2024-07-25
1027,1,2024-07-20
1028,4,2024-05-21
1029,5,2024-02-02
1030,5,2024-09-07
1031,6,2024-10-13
1032,2,2024-03-11
1033,4,2024-05-06
1034,6,2024-02-17
1035,1,2024-06-11
1036,5,2024-03-28
1037,2,2024-02-22
1038,3,2024-09-22
1039,3,2024-09-10
1040,2,2024-01-15
1041,4,2024-04-20
1042,3,2024-10-17
1043,6,2024-06-13
1044,2,2024-03-23
1045,6,2024-05-13
1046,1,2024-07-14
1047,5,2024-08-03
1048,4,2024-10-02
1049,6,2024-01-31
1050,3,2024-08-23
1051,6,2024-05-31
1052,4,2024-06-25
1053,6,2024-07-21
1054,6,2024-06-09
1055,3,2024-05-25
1056,2,2024-08-28
1057,1,2024-10-27
1058,5,2024-02-22
1059,5,2024-08-24
1060,2,2024-01-25
1061,2,2024-09-25
1062,1,2024-07-21
1063,2,2024-10-05
1064,5,2024-09-27
1065,1,2024-07-13
1066,3,2024-02-03
1067,2,2024-11-06
1068,1,2024-10-28
1069,6,2024-07-15
1070,1,2024-10-15
1071,4,2024-07-24
1072,6,2024-04-26
1073,4,2024-05-12
1074,1,2024-05-24
1075,6,2024-07-01
1076,4,2024-08-06
1077,3,2024-08-17
1078,3,2024-03-02
1079,1,2024-10-26
1080,6,2024-01-23
1081,5,2024-08-03
1082,5,2024-05-17
1083,4,2024-07-20
1084,5,2024-09-12
1085,6,2024-02-27
1086,3,2024-01-01
1087,4,2024-04-18
1088,1,2024-04-17
1089,2,2024-09-04
1090,4,2024-09-16
1091,6,2024-03-20
1092,3,2024-03-29
1093,4,2024-02-08
1094,2,2024-04-25
1095,1,2024-10-24
1096,1,2024-06-20
1097,2,2024-08-14
1098,1,2024-01-22
1099,4,2024-05-06
1100,3,2024-01-17
1101,4,2024-01-01
1102,4,2024-02-02
1103,6,2024-01-19
1104,1,2024-03-04
1105,1,2024-03-22
1106,3,2024-09-28
1107,6,2024-06-19
1108,3,2024-10-15
1109,1,2024-05-13
1110,5,2024-04-01
1111,5,2024-05-22
1112,4,2024-06-12
1113,1,2024-07-09
1114,1,2024-06-27
1115,4,2024-02-06
1116,3,2024-03-28
1117,2,2024-11-06
1118,2,2024-06-15
1119,6,2024-08-04
1120,1,2024-10-26
1121,1,2024-01-26
1122,6,2024-04-24
1123,6,2024-03-20
1124,1,2024-08-28
1125,5,2024-10-07
1126,2,2024-07-05
1127,5,2024-05-25
1128,3,2024-09-25
1129,6,2024-10-25
1130,4,2024-08-11
1131,4,2024-02-22
1132,3,2024-08-03
1133,5,2024-09-18
1134,5,2024-01-17
1135,6,2024-04-17
1136,3,2024-04-02
1137,3,2024-09-04
1138,6,2024-05-05
1139,3,2024-06-19
1140,5,2024-01-25
1141,1,2024-06-30
1142,2,2024-03-26
1143,2,2024-09-29
1144,2,2024-08-24
1145,5,2024-04-21
1146,4,2024-02-15
1147,3,2024-10-30
1148,2,2024-03-27
1149,6,2024-07-03
1150,2,2024-05-07
1151,5,2024-11-02
1152,4,2024-07-18
1153,5,2024-01-17
1154,5,2024-03-13
1155,5,2024-02-02
1156,4,2024-08-22
1157,2,2024-04-26
1158,4,2024-07-02
1159,6,2024-08-08
1160,5,2024-03-22
1161,1,2024-08-01
1162,1,2024-03-02
1163,6,2024-01-13
1164,3,2024-01-13
1165,3,2024-09-09
1166,6,2024-10-24
1167,5,2024-04-04
1168,6,2024-01-23
1169,6,2024-06-06
1170,2,2024-07-31
1171,1,2024-06-26
1172,1,2024-07-18
1173,6,2024-02-12
1174,5,2024-06-23
1175,3,2024-07-10
1176,4,2024-02-29
1177,1,2024-07-27
1178,2,2024-08-02
1179,3,2024-06-12
1180,6,2024-09-21
1181,6,2024-06-27
1182,3,2024-08-07
1183,4,2024-02-08
1184,4,2024-09-15
1185,3,2024-10-29
1186,5,2024-05-18
1187,1,2024-10-26
1188,2,2024-08-05
1189,1,2024-09-09
1190,6,2024-02-20
1191,1,2024-09-24
1192,2,2024-10-19
1193,6,2024-05-22
1194,3,2024-05-04
1195,6,2024-07-07
1196,6,2024-05-22
1197,4,2024-03-11
1198,3,2024-09-06
1199,5,2024-03-10
1200,1,2024-06-21
1201,3,2024-07-26
1202,1,2024-02-02
1203,1,2024-10-12
1204,2,2024-05-02
1205,2,2024-04-13
1206,1,2024-02-06
1207,3,2024-03-16
1208,2,2024-03-21
1209,4,2024-03-16
1210,3,2024-03-12
1211,1,2024-01-08
1212,2,2024-08-27
1213,4,2024-08-05
1214,5,2024-09-14
1215,2,2024-11-04
1216,4,2024-02-07
1217,6,2024-10-05
1218,5,2024-10-18
1219,2,2024-02-19
1220,2,2024-09-05
1221,5,2024-05-12
1222,4,2024-06-10
1223,1,2024-03-18
1224,6,2024-11-02
1225,4,2024-07-19
1226,6,2024-06-20
1227,3,2024-06-26
1228,6,2024-07-09
1229,1,2024-04-08
1230,6,2024-05-31
1231,2,2024-01-07
1232,3,2024-09-13
1233,3,2024-07-14
1234,6,2024-07-08
1235,2,2024-05-01
1236,3,2024-04-08
1237,6,2024-01-23
1238,2,2024-02-09
1239,2,2024-08-02
1240,5,2024-03-10
1241,6,2024-06-03
1242,3,2024-10-17
1243,6,2024-10-01
1244,2,2024-06-05
1245,2,2024-10-19
1246,6,2024-03-07
1247,4,2024-02-19
