id_aluno,id_disciplina,data_inscricao
172,3,2024-05-20
173,1,2024-07-05
174,4,2024-10-20
175,3,2024-10-09
176,2,2024-04-02
177,2,2024-07-09
178,1,2024-09-25
179,4,2024-10-10
180,1,2024-02-17
181,1,2024-08-04
182,4,2024-08-30
183,2,2024-03-20
184,1,2024-02-04
185,4,2024-05-28
186,2,2024-10-20
187,2,2024-04-05
188,3,2024-04-30
189,3,2024-04-16
190,4,2024-05-08
191,1,2024-08-14
192,4,2024-06-17
193,4,2024-01-20
194,4,2024-05-10
195,4,2024-08-28
196,1,2024-05-23
197,4,2024-05-17
198,4,2024-06-08
199,1,2024-02-15
200,4,2024-09-08
201,4,2024-03-03
202,1,2024-04-30
203,3,2024-02-26
204,2,2024-01-31
205,1,2024-05-07
206,2,2024-03-19
207,1,2024-10-24
208,1,2024-02-02
209,3,2024-01-09
210,1,2024-01-28
211,3,2024-04-11
212,3,2024-05-21
213,4,2024-09-01
214,2,2024-02-23
215,1,2024-09-19
216,1,2024-01-06
217,3,2024-10-04
218,3,2024-06-27
219,4,2024-09-13
220,2,2024-10-17
221,1,2024-09-15
222,1,2024-03-20
223,2,2024-03-06
224,3,2024-05-01
225,1,2024-07-30
226,4,2024-10-24
227,3,2024-05-20
228,1,2024-03-20
229,2,2024-01-08
230,2,2024-10-14
231,3,2024-04-09
232,4,2024-10-24
233,4,2024-04-05
234,3,2024-07-08
235,3,2024-11-05
236,4,2024-05-15
237,3,2024-06-21
238,2,2024-03-27
239,1,2024-02-11
240,1,2024-03-15
241,2,2024-11-06
242,1,2024-06-24
243,4,2024-01-23
244,4,2024-06-29
245,2,2024-10-27
246,4,2024-05-11
247,4,2024-01-10
248,2,2024-10-10
249,2,2024-01-21
250,4,2024-07-04
251,4,2024-06-19
252,4,2024-07-21
253,2,2024-05-18
254,3,2024-07-26
255,2,2024-08-31
256,4,2024-09-15
257,4,2024-07-14
258,4,2024-08-31
259,2,2024-03-05
260,2,2024-04-17
261,3,2024-07-23
262,2,2024-08-02
263,3,2024-08-31
264,1,2024-05-14
265,2,2024-07-01
266,2,2024-04-11
267,1,2024-08-15
268,3,2024-08-05
269,1,2024-09-22
270,1,2024-10-13
271,3,2024-06-04
272,1,2024-10-31
273,4,2024-01-26
274,4,2024-04-28
275,3,2024-02-24
276,3,2024-03-22
277,4,2024-03-14
278,3,2024-09-04
279,4,2024-09-19
280,4,2024-05-28
281,3,2024-06-06
282,1,2024-09-20
283,1,2024-04-26
284,1,2024-05-13
285,1,2024-01-08
286,4,2024-05-05
287,1,2024-07-03
288,2,2024-02-14
289,2,2024-02-29
290,4,2024-01-03
291,1,2024-05-13
292,2,2024-02-04
293,3,2024-05-19
294,4,2024-04-30
295,3,2024-05-07
296,1,2024-05-27
297,1,2024-06-17
298,4,2024-03-25
299,2,2024-06-14
300,3,2024-09-09
301,1,2024-03-09
302,4,2024-08-24
303,4,2024-05-08
304,1,2024-10-28
305,3,2024-09-09
306,3,2024-08-26
307,2,2024-10-16
308,2,2024-07-02
309,3,2024-06-10
310,4,2024-07-16
311,4,2024-02-22
312,3,2024-04-20
313,2,2024-08-14
314,2,2024-06-21
315,2,2024-05-24
316,4,2024-07-20
317,1,2024-10-02
318,1,2024-02-05
319,1,2024-10-06
320,3,2024-01-24
321,3,2024-05-18
322,3,2024-07-14
323,3,2024-02-26
324,1,2024-04-01
325,3,2024-04-16
326,4,2024-02-17
327,4,2024-09-04
328,4,2024-10-06
329,2,2024-03-16
330,2,2024-04-08
331,3,2024-09-28
332,4,2024-11-06
333,3,2024-03-21
334,3,2024-02-13
335,4,2024-06-08
336,1,2024-06-19
337,1,2024-10-26
338,1,2024-10-28
339,1,2024-03-03
340,2,2024-06-10
341,4,2024-05-01
342,1,2024-01-11
343,1,2024-10-03
344,3,2024-10-07
345,1,2024-08-06
346,1,2024-05-03
347,3,2024-10-24
348,2,2024-03-13
349,2,2024-05-31
350,4,2024-03-23
351,4,2024-10-13
352,2,2024-06-14
353,4,2024-04-19
354,1,2024-04-15
355,4,2024-05-17
356,3,2024-10-04
357,1,2024-07-06
358,1,2024-01-21
359,1,2024-10-20
360,1,2024-05-31
361,4,2024-07-16
362,4,2024-03-01
363,3,2024-03-31
364,3,2024-04-26
365,4,2024-03-19
366,1,2024-03-09
367,3,2024-03-04
368,1,2024-09-17
369,1,2024-04-28
370,1,2024-05-29
371,2,2024-02-18
372,4,2024-05-18
373,4,2024-02-06
374,1,2024-04-02
375,4,2024-11-03
376,1,2024-08-02
377,2,2024-10-06
378,4,2024-09-19
379,1,2024-07-12
380,4,2024-01-08
381,1,2024-04-19
382,4,2024-01-19
383,1,2024-06-09
384,4,2024-08-01
385,2,2024-03-04
386,3,2024-07-03
387,4,2024-03-14
388,2,2024-02-05
389,2,2024-07-12
390,2,2024-03-24
391,3,2024-03-30
392,1,2024-01-10
393,4,2024-09-03
394,1,2024-05-10
395,3,2024-10-14
396,3,2024-04-28
397,4,2024-04-17
398,2,2024-04-03
399,2,2024-10-15
400,3,2024-08-16
401,1,2024-09-23
402,2,2024-06-13
403,4,2024-09-22
404,1,2024-01-16
405,1,2024-01-25
406,1,2024-04-16
407,2,2024-10-08
408,2,2024-02-05
409,1,2024-02-23
410,3,2024-10-05
411,4,2024-09-30
412,2,2024-03-27
413,4,2024-09-11
414,1,2024-09-17
415,4,2024-02-11
416,1,2024-10-04
417,4,2024-04-19
418,1,2024-06-17
419,2,2024-02-04
420,3,2024-09-29
421,1,2024-02-29
422,2,2024-10-22
423,4,2024-06-27
424,3,2024-10-08
425,4,2024-09-26
426,3,2024-05-20
427,1,2024-03-02
428,4,2024-08-25
429,4,2024-02-17
430,1,2024-08-19
431,1,2024-05-05
432,2,2024-05-11
433,4,2024-10-01
434,3,2024-03-20
435,2,2024-06-22
436,2,2024-07-24
437,2,2024-03-17
438,3,2024-03-05
439,4,2024-10-05
440,3,2024-09-28
441,3,2024-09-16
442,4,2024-01-17
443,3,2024-07-15
444,2,2024-02-10
445,2,2024-06-12
446,2,2024-09-30
447,3,2024-06-18
448,4,2024-02-26
449,1,2024-06-13
450,1,2024-03-01
451,1,2024-06-03
452,4,2024-08-15
453,1,2024-01-17
454,2,2024-10-25
455,4,2024-10-18
456,3,2024-07-07
457,1,2024-02-04
458,3,2024-11-01
459,2,2024-01-29
460,3,2024-09-06
461,1,2024-05-20
462,4,2024-02-25
463,1,2024-02-21
464,4,2024-09-20
465,1,2024-06-03
466,2,2024-09-09
467,4,2024-03-29
468,4,2024-03-30
469,4,2024-05-05
470,1,2024-02-29
471,2,2024-02-26
472,1,2024-02-10
473,1,2024-02-04
474,3,2024-05-01
475,1,2024-01-30
476,3,2024-05-04
477,4,2024-10-31
478,3,2024-10-08
479,3,2024-01-31
480,4,2024-03-13
481,2,2024-04-10
482,2,2024-01-08
483,2,2024-10-06
484,2,2024-03-31
485,2,2024-10-16
486,4,2024-01-18
487,2,2024-08-29
488,3,2024-06-09
489,3,2024-04-30
490,4,2024-02-19
491,2,2024-10-04
492,1,2024-08-27
493,1,2024-01-27
494,2,2024-05-30
495,3,2024-02-22
496,2,2024-08-14
497,4,2024-02-07
498,2,2024-07-19
499,1,2024-02-01
500,2,2024-09-29
501,4,2024-07-14
502,3,2024-05-17
503,4,2024-09-25
504,4,2024-09-04
505,4,2024-04-15
506,2,2024-06-19
507,1,2024-09-04
508,4,2024-04-02
509,1,2024-07-07
510,2,2024-07-08
511,2,2024-07-19
512,3,2024-06-03
513,1,2024-10-20
514,4,2024-05-04
515,3,2024-05-03
516,4,2024-05-11
517,1,2024-05-13
518,4,2024-08-01
519,2,2024-04-17
520,1,2024-02-10
521,3,2024-03-09
522,1,2024-10-31
523,1,2024-05-19
524,1,2024-05-02
525,1,2024-07-10
526,4,2024-08-07
527,4,2024-06-10
528,2,2024-06-16
529,2,2024-07-13
530,3,2024-03-17
531,1,2024-03-06
532,3,2024-08-27
533,4,2024-06-12
534,2,2024-11-06
535,2,2024-01-30
536,4,2024-01-27
537,3,2024-09-17
538,1,2024-05-24
539,3,2024-01-01
540,3,2024-10-19
541,4,2024-02-20
542,2,2024-09-26
543,4,2024-01-08
544,1,2024-08-09
545,1,2024-08-24
546,2,2024-08-25
547,2,2024-06-02
548,2,2024-03-27
549,4,2024-03-29
550,3,2024-03-02
551,4,2024-10-05
552,4,2024-06-24
553,2,2024-05-24
554,1,2024-07-13
555,2,2024-02-15
556,1,2024-05-28
557,4,2024-04-03
558,4,2024-09-03
559,3,2024-01-07
560,2,2024-01-15
561,3,2024-10-13
562,2,2024-08-30
563,3,2024-06-21
564,4,2024-04-10
565,4,2024-08-11
566,4,2024-07-07
567,4,2024-03-09
568,1,2024-05-07
569,1,2024-08-25
570,1,2024-02-23
571,2,2024-05-28
572,4,2024-06-08
573,1,2024-10-21
574,2,2024-07-26
575,3,2024-04-02
576,1,2024-08-20
577,2,2024-04-05
578,2,2024-10-08
579,2,2024-10-30
580,2,2024-03-24
581,3,2024-09-05
582,4,2024-03-27
583,3,2024-07-07
584,2,2024-07-08
585,3,2024-01-16
586,4,2024-09-29
587,3,2024-07-26
588,1,2024-07-25
589,1,2024-02-20
590,2,2024-10-18
591,1,2024-01-01
592,4,2024-10-12
593,1,2024-09-23
594,1,2024-06-07
595,1,2024-06-23
596,2,2024-03-15
597,2,2024-04-10
598,1,2024-08-09
599,1,2024-07-26
600,2,2024-10-12
601,3,2024-03-23
602,4,2024-08-21
603,2,2024-10-20
604,3,2024-04-05
605,2,2024-07-30
606,1,2024-03-18
607,4,2024-04-17
608,3,2024-05-06
609,2,2024-02-04
610,2,2024-02-24
611,4,2024-10-17
612,1,2024-03-29
613,1,2024-07-28
614,3,2024-02-23
615,3,2024-10-23
616,2,2024-08-11
617,3,2024-01-20
618,4,2024-01-02
619,4,2024-08-06
620,2,2024-10-09
621,2,2024-04-02
622,1,2024-10-10
623,3,2024-05-16
624,1,2024-03-18
625,1,2024-05-25
626,3,2024-10-20
627,1,2024-07-25
628,3,2024-06-11
629,1,2024-10-13
630,3,2024-08-23
631,3,2024-03-05
632,3,2024-07-22
633,2,2024-04-04
634,4,2024-04-06
635,4,2024-08-09
636,2,2024-09-23
637,4,2024-06-30
638,2,2024-01-29
639,3,2024-06-08
640,1,2024-03-06
641,2,2024-06-22
642,1,2024-09-08
643,2,2024-09-10
644,2,2024-05-26
645,4,2024-03-26
646,2,2024-09-15
647,4,2024-06-10
648,2,2024-08-07
649,2,2024-07-05
650,3,2024-07-10
651,4,2024-01-30
652,3,2024-10-21
653,2,2024-07-16
654,2,2024-01-28
655,1,2024-05-14
656,2,2024-05-08
657,4,2024-07-16
658,3,2024-08-16
659,4,2024-10-14
660,3,2024-10-12
661,1,2024-05-09
662,3,2024-07-03
663,3,2024-01-03
664,4,2024-06-29
665,3,2024-06-04
666,3,2024-07-19
667,2,2024-08-23
668,2,2024-05-01
669,4,2024-03-16
670,2,2024-06-19
671,3,2024-05-08
672,2,2024-07-05
673,4,2024-10-07
674,1,2024-05-28
675,2,2024-05-15
676,2,2024-02-05
677,4,2024-03-16
678,2,2024-04-28
679,1,2024-05-03
680,1,2024-05-31
681,1,2024-07-11
682,1,2024-01-31
683,4,2024-09-17
684,3,2024-04-24
685,4,2024-01-10
686,1,2024-10-19
687,4,2024-04-03
688,2,2024-09-22
689,4,2024-08-16
690,2,2024-05-22
691,4,2024-10-02
692,4,2024-01-15
693,1,2024-07-15
694,4,2024-06-21
695,3,2024-05-06
696,3,2024-01-07
697,2,2024-07-10
698,4,2024-01-03
699,1,2024-02-15
700,2,2024-03-08
701,3,2024-09-12
702,3,2024-02-08
703,2,2024-10-20
704,1,2024-08-31
705,2,2024-03-01
706,4,2024-10-18
707,4,2024-06-30
708,4,2024-04-26
709,3,2024-03-16
710,3,2024-04-30
711,1,2024-02-18
712,3,2024-10-26
713,4,2024-06-26
714,1,2024-05-30
715,1,2024-04-19
716,3,2024-11-06
717,3,2024-01-03
718,3,2024-07-06
719,3,2024-08-08
720,2,2024-08-27
721,3,2024-04-26
722,3,2024-07-15
723,1,2024-06-20
724,2,2024-02-09
725,2,2024-04-12
726,1,2024-10-14
727,3,2024-02-15
728,4,2024-04-10
729,2,2024-05-12
730,2,2024-01-26
731,3,2024-07-06
732,3,2024-04-06
733,4,2024-02-17
734,2,2024-07-04
735,4,2024-04-05
736,2,2024-06-19
737,4,2024-09-27
738,4,2024-08-13
739,3,2024-02-22
740,3,2024-05-31
741,1,2024-09-22
742,1,2024-10-03
743,4,2024-04-08
744,3,2024-05-19
745,3,2024-10-28
746,3,2024-05-12
747,2,2024-01-17
748,2,2024-08-11
749,1,2024-03-28
750,2,2024-04-24
751,4,2024-02-27
752,3,2024-01-15
753,4,2024-08-23
754,2,2024-09-05
755,3,2024-05-11
756,2,2024-09-05
757,3,2024-08-21
758,3,2024-04-05
759,3,2024-04-15
760,3,2024-10-10
761,3,2024-01-07
762,2,2024-05-08
763,3,2024-05-03
764,4,2024-06-10
765,1,2024-06-23
766,1,2024-10-11
767,1,2024-01-25
768,4,2024-04-10
769,2,2024-05-19
770,4,2024-02-28
771,1,2024-03-22
772,2,2024-03-06
773,1,2024-07-29
774,3,2024-06-16
775,1,2024-08-03
776,4,2024-06-13
777,2,2024-09-27
778,2,2024-06-13
779,2,2024-03-27
780,2,2024-07-07
781,1,2024-04-25
782,4,2024-05-06
783,3,2024-09-08
784,3,2024-07-14
785,1,2024-06-05
786,2,2024-02-18
787,2,2024-04-13
788,4,2024-03-18
789,4,2024-06-10
790,4,2024-04-09
791,1,2024-05-08
792,1,2024-05-26
793,1,2024-02-01
794,2,2024-06-03
795,2,2024-03-22
796,1,2024-05-12
797,3,2024-08-13
798,1,2024-08-01
799,3,2024-01-04
800,2,2024-05-25
801,2,2024-07-06
802,1,2024-10-30
803,1,2024-02-06
804,2,2024-03-04
805,1,2024-07-31
806,3,2024-08-18
807,3,2024-02-23
808,4,2024-08-12
809,1,2024-03-17
810,3,2024-10-22
811,3,2024-08-11
812,1,2024-05-16
813,2,2024-06-07
814,3,2024-01-11
815,3,2024-04-09
816,2,2024-04-18
817,2,2024-08-16
818,3,2024-03-18
819,3,2024-07-15
820,2,2024-05-23
821,3,2024-07-28
822,4,2024-01-10
823,1,2024-10-18
824,4,2024-07-31
825,4,2024-07-13
826,1,2024-05-06
827,3,2024-02-28
828,4,2024-07-03
829,1,2024-02-03
830,2,2024-04-27
831,2,2024-06-13
832,2,2024-10-22
833,2,2024-07-13
834,3,2024-03-31
835,3,2024-01-09
836,4,2024-08-19
837,3,2024-09-09
838,4,2024-08-17
839,1,2024-08-12
840,1,2024-02-22
841,2,2024-07-06
842,2,2024-04-17
843,3,2024-07-25
844,1,2024-05-27
845,2,2024-07-02
846,2,2024-02-04
847,1,2024-02-02
848,3,2024-02-17
849,2,2024-06-09
850,4,2024-09-23
851,1,2024-08-12
852,3,2024-06-05
853,3,2024-11-01
854,2,2024-09-28
855,4,2024-02-15
856,2,2024-10-13
857,4,2024-07-31
858,2,2024-09-18
859,1,2024-05-10
860,3,2024-02-27
861,1,2024-04-23
862,3,2024-03-24
863,1,2024-01-11
864,1,2024-08-13
865,3,2024-07-06
866,1,2024-03-16
867,2,2024-06-03
868,1,2024-01-21
869,1,2024-02-12
870,1,2024-01-30
871,3,2024-11-04
872,4,2024-01-17
873,2,2024-09-03
874,3,2024-02-20
875,2,2024-08-22
876,3,2024-10-05
877,4,2024-08-26
878,3,2024-02-19
879,4,2024-05-04
880,2,2024-03-17
881,1,2024-09-04
882,1,2024-08-22
883,1,2024-04-23
884,3,2024-05-21
885,2,2024-05-09
886,1,2024-07-29
887,3,2024-01-02
888,2,2024-10-03
889,4,2024-01-07
890,1,2024-08-02
891,1,2024-02-19
892,2,2024-07-06
893,2,2024-10-05
894,2,2024-02-02
895,3,2024-04-10
896,1,2024-03-09
897,1,2024-07-18
898,3,2024-10-30
899,1,2024-10-22
900,1,2024-04-13
901,2,2024-02-15
902,1,2024-01-19
903,1,2024-02-17
904,1,2024-03-31
905,1,2024-07-29
906,4,2024-06-24
907,2,2024-06-12
908,1,2024-05-22
909,2,2024-10-24
910,3,2024-09-29
911,2,2024-06-01
912,3,2024-10-28
913,4,2024-05-30
914,4,2024-03-27
915,2,2024-03-24
916,4,2024-02-23
917,1,2024-08-01
918,4,2024-06-22
919,3,2024-10-31
920,4,2024-07-08
921,4,2024-02-08
922,2,2024-03-26
923,1,2024-03-13
924,1,2024-04-26
925,3,2024-06-18
926,3,2024-09-04
927,4,2024-09-10
928,4,2024-09-22
929,3,2024-09-23
930,2,2024-08-15
931,1,2024-10-01
932,2,2024-10-09
933,3,2024-10-28
934,3,2024-07-07
935,3,2024-02-16
936,3,2024-07-02
937,3,2024-05-14
938,3,2024-03-20
939,3,2024-01-02
940,4,2024-06-23
941,4,2024-04-08
942,3,2024-05-01
943,4,2024-09-13
944,2,2024-02-05
945,4,2024-05-05
946,4,2024-10-05
947,4,2024-03-03
948,4,2024-08-17
949,4,2024-08-20
950,3,2024-08-10
951,2,2024-02-20
952,1,2024-04-15
953,4,2024-09-04
954,4,2024-10-14
955,1,2024-01-31
956,4,2024-10-11
957,3,2024-08-02
958,3,2024-02-16
959,3,2024-02-21
960,3,2024-10-18
961,3,2024-10-17
962,3,2024-03-11
963,4,2024-02-07
964,1,2024-09-05
965,1,2024-07-28
966,2,2024-06-28
967,4,2024-04-07
968,2,2024-10-12
969,4,2024-07-01
970,4,2024-08-18
971,3,2024-01-31
972,1,2024-02-02
973,3,2024-05-10
974,2,2024-08-25
975,3,2024-06-28
976,4,2024-05-05
977,1,2024-09-03
978,3,2024-07-01
979,2,2024-05-04
980,2,2024-01-07
981,4,2024-08-13
982,2,2024-06-23
983,4,2024-07-23
984,4,2024-10-06
985,1,2024-07-11
986,2,2024-08-02
987,4,2024-03-08
988,2,2024-08-31
989,1,2024-03-25
990,1,2024-01-23
991,2,2024-11-01
992,2,2024-04-01
993,3,2024-10-19
994,2,2024-01-29
995,1,2024-07-22
996,1,2024-05-13
997,1,2024-09-02
998,1,2024-10-04
999,1,2024-03-27
1000,3,2024-01-12
1001,1,2024-09-04
1002,2,2024-11-04
1003,3,2024-07-18
1004,4,2024-09-25
1005,1,2024-03-06
1006,4,2024-08-21
1007,1,2024-08-11
1008,2,2024-04-14
1009,4,2024-04-01
1010,4,2024-07-12
1011,4,2024-05-16
1012,1,2024-04-16
1013,4,2024-04-09
1014,4,2024-10-05
1015,4,2024-09-24
1016,1,2024-09-07
1017,1,2024-07-28
1018,4,2024-06-13
1019,3,2024-10-02
1020,2,2024-04-09
1021,4,2024-07-07
1022,3,2024-04-22
1023,3,2024-02-12
1024,1,2024-03-25
1025,3,2024-03-02
1026,3,2024-05-09
1027,4,2024-09-23
1028,4,2024-01-13
1029,1,2024-01-26
1030,1,2024-09-02
1031,3,2024-08-12
1032,1,2024-04-02
1033,3,2024-05-20
1034,3,2024-02-29
1035,2,2024-01-21
1036,3,2024-02-20
1037,3,2024-08-29
1038,1,2024-05-23
1039,2,2024-08-05
1040,2,2024-03-01
1041,4,2024-07-15
1042,4,2024-06-22
1043,2,2024-02-12
1044,1,2024-05-25
1045,1,2024-04-30
1046,3,2024-08-22
1047,4,2024-05-12
1048,1,2024-07-05
1049,3,2024-06-21
1050,4,2024-03-04
1051,2,2024-10-04
1052,1,2024-10-31
1053,4,2024-09-16
1054,3,2024-02-06
1055,4,2024-07-18
1056,3,2024-03-02
1057,3,2024-03-19
1058,4,2024-01-02
1059,1,2024-05-18
1060,1,2024-06-27
1061,4,2024-05-11
1062,1,2024-06-14
1063,2,2024-09-20
1064,4,2024-03-25
1065,3,2024-03-24
1066,1,2024-07-13
1067,2,2024-08-13
1068,2,2024-03-07
1069,4,2024-08-19
1070,2,2024-04-27
1071,1,2024-09-14
1072,2,2024-03-31
1073,1,2024-01-20
1074,4,2024-05-04
1075,3,2024-01-25
1076,1,2024-09-28
1077,1,2024-04-28
1078,1,2024-10-24
1079,4,2024-08-16
1080,3,2024-03-20
1081,4,2024-02-24
1082,4,2024-07-21
1083,1,2024-03-26
1084,3,2024-01-22
1085,3,2024-05-22
1086,1,2024-05-24
1087,1,2024-10-11
1088,4,2024-08-13
1089,2,2024-05-06
1090,1,2024-02-24
1091,2,2024-01-19
1092,3,2024-03-16
1093,1,2024-04-03
1094,3,2024-09-07
1095,1,2024-03-20
1096,4,2024-07-13
1097,2,2024-09-12
1098,4,2024-05-08
1099,2,2024-02-08
1100,3,2024-04-04
1101,4,2024-06-10
1102,1,2024-06-29
1103,2,2024-09-21
1104,4,2024-10-12
1105,1,2024-08-15
1106,4,2024-10-22
1107,3,2024-10-06
1108,2,2024-06-22
1109,2,2024-06-16
1110,4,2024-01-07
1111,4,2024-11-06
1112,2,2024-10-14
1113,2,2024-06-24
1114,4,2024-03-05
1115,3,2024-05-15
1116,3,2024-10-22
1117,4,2024-06-20
1118,3,2024-06-06
1119,3,2024-08-25
1120,4,2024-01-14
1121,4,2024-10-29
1122,4,2024-09-28
1123,3,2024-05-08
1124,3,2024-08-01
1125,1,2024-03-15
1126,3,2024-06-09
1127,3,2024-10-09
1128,3,2024-08-08
1129,4,2024-07-16
1130,1,2024-02-03
1131,3,2024-10-05
1132,1,2024-07-28
1133,1,2024-01-29
1134,1,2024-10-09
1135,3,2024-08-26
1136,1,2024-02-25
1137,1,2024-07-19
1138,2,2024-01-24
1139,1,2024-10-31
1140,2,2024-07-14
1141,3,2024-07-07
1142,3,2024-01-27
1143,3,2024-01-31
1144,2,2024-08-12
1145,4,2024-07-20
1146,2,2024-05-17
1147,1,2024-02-28
1148,3,2024-06-27
1149,2,2024-09-17
1150,3,2024-10-23
1151,3,2024-07-05
1152,3,2024-06-08
1153,2,2024-03-07
1154,4,2024-05-21
1155,1,2024-04-08
1156,1,2024-08-04
1157,3,2024-07-29
1158,2,2024-01-30
1159,3,2024-08-03
1160,2,2024-05-10
1161,3,2024-04-02
1162,2,2024-06-07
1163,2,2024-10-30
1164,1,2024-02-10
1165,1,2024-07-24
1166,3,2024-03-27
1167,2,2024-04-02
1168,2,2024-11-03
1169,3,2024-08-19
1170,2,2024-09-23
1171,1,2024-08-13
1172,3,2024-07-16
1173,2,2024-06-02
1174,3,2024-05-08
1175,4,2024-09-10
1176,2,2024-07-29
1177,4,2024-05-22
1178,4,2024-10-10
1179,2,2024-08-29
1180,2,2024-04-18
1181,4,2024-07-27
1182,4,2024-03-11
1183,4,2024-03-06
1184,4,2024-02-01
1185,2,2024-04-26
1186,2,2024-03-12
1187,2,2024-03-20
1188,4,2024-10-30
1189,1,2024-10-17
1190,1,2024-09-26
1191,2,2024-06-08
1192,1,2024-02-20
1193,4,2024-03-26
1194,3,2024-05-04
1195,3,2024-06-14
1196,3,2024-02-14
1197,3,2024-04-23
1198,4,2024-10-03
1199,4,2024-02-08
1200,3,2024-01-14
1201,4,2024-04-20
1202,1,2024-04-12
1203,2,2024-08-31
1204,2,2024-01-28
1205,3,2024-03-22
1206,1,2024-06-17
1207,3,2024-10-26
1208,4,2024-05-24
1209,3,2024-03-11
1210,1,2024-02-03
1211,4,2024-08-11
1212,1,2024-03-26
1213,1,2024-01-28
1214,3,2024-02-26
1215,4,2024-06-04
1216,2,2024-11-01
1217,2,2024-04-22
1218,3,2024-02-22
1219,1,2024-02-09
1220,3,2024-09-01
1221,3,2024-01-20
1222,4,2024-08-06
1223,1,2024-01-15
1224,4,2024-08-22
1225,4,2024-10-30
1226,1,2024-04-13
1227,2,2024-10-15
1228,2,2024-10-12
1229,1,2024-01-25
1230,3,2024-02-04
1231,2,2024-05-23
1232,4,2024-02-11
1233,1,2024-06-21
1234,4,2024-09-20
1235,2,2024-10-21
1236,4,2024-02-22
1237,4,2024-06-15
1238,3,2024-03-06
1239,3,2024-07-03
1240,3,2024-01-21
1241,4,2024-06-19
1242,3,2024-07-17
1243,3,2024-07-14
1244,4,2024-08-26
1245,4,2024-09-23
1246,1,2024-11-01
